State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude
"CA","Donald Von Raesfeld","56026","PCT2",,"2015","ARP","8106.03","12","487212.73",,"1.113","0.0063","11.247","220425.87","3709029.209","9",,"Santa Clara","Electric Utility","City of Santa Clara","City of Santa Clara","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"37.3767","-121.9508",
"CA","El Cajon Energy Center","57001","1",,"2015","ARP","494.98","12","16470.69",,"0.052","0.0198","1.188","10315.249","173573.625","9",,"San Diego","Electric Utility","El Cajon Energy, LLC","El Cajon Energy, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"32.7971","-116.972",
"CA","El Centro","389","2-2",,"2015","ARP","3226.83","12","278600.94",,"0.761","0.034","42.734","150728.675","2536245.544","9","WECC","Imperial","Electric Utility","Imperial Irrigation District","Imperial Irrigation District","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"32.8022","-115.54",
"CA","El Centro","389","3-1",,"2015","ARP","7005.88","12","352954.76",,"0.813","0.0049","6.395","161026.04","2709585.201","9","WECC","Imperial","Electric Utility","Imperial Irrigation District","Imperial Irrigation District","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.8022","-115.54",
"CA","El Centro","389","3-2",,"2015","ARP","4842.79","12","253300.62",,"0.574","0.0053","4.904","113639.367","1912221.928","9","WECC","Imperial","Electric Utility","Imperial Irrigation District","Imperial Irrigation District","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.8022","-115.54",
"CA","El Centro","389","4",,"2015","ARP","6455.2","12","152701.35",,"0.879","0.0602","53.261","105142.432","1767734.88","9","WECC","Imperial","Electric Utility","Imperial Irrigation District","Imperial Irrigation District","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,"Selective Catalytic Reduction",,,"32.8022","-115.54",
"CA","El Segundo","330","4",,"2015","ARP","1639.29","12","153852.46",,"0.521","0.0108","6.128","103211.36","1736731.071","9","WECC","Los Angeles","Electric Utility","El Segundo Power, LLC","El Segundo Operations, Inc.","Phase 2",,"Operating","Tangentially-fired","Pipeline Natural Gas","Residual Oil",,"Selective Catalytic Reduction",,,"33.9106","-118.425",
"CA","El Segundo","330","5",,"2015","ARP","4448.67","12","972458.46",,"2.305","0.0045","13.644","456661.277","7684194.939","9","WECC","Los Angeles","Electric Utility","El Segundo Power, LLC","NRG El Segundo Operations Inc.","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.9106","-118.425",
"CA","El Segundo","330","7",,"2015","ARP","4897.89","12","1065935.12",,"2.602","0.0054","18.461","515361.381","8671965.456","9","WECC","Los Angeles","Electric Utility","El Segundo Power, LLC","NRG El Segundo Operations Inc.","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.9106","-118.425",
"CA","Elk Hills Power","55400","CTG-1",,"2015","ARP","8643.15","12","2035925.46",,"4.021","0.003","19.449","796490.043","1.3402455266E7","9",,"Kern","Industrial Turbine","Elk Hills Power, LLC","Elk Hills Power, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,,,,"35.2802","-119.4699",
"CA","Elk Hills Power","55400","CTG-2",,"2015","ARP","8718.38","12","2043103.5",,"4.066","0.003","20.463","805493.926","1.3553967457E7","9",,"Kern","Industrial Turbine","Elk Hills Power, LLC","Elk Hills Power, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,,,,"35.2802","-119.4699",
"CA","Escondido Energy Center, LLC","55538","CTG1",,"2015","ARP","1190.04","12","48334.89",,"0.141","0.0149","1.944","28005.378","471245.302","9",,"San Diego","Electric Utility","Wellhead Services, Inc.","Escondido Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"33.1261","-117.1172",
"CA","Etiwanda Generating Station","331","3",,"2015","ARP","1129.64","12","94266.74",,"0.341","0.007","3.486","67500.097","1135837.859","9","WECC","San Bernardino","Electric Utility","NRG California South LP.","NRG California South LP.","Phase 2",,"Operating","Tangentially-fired","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.0911","-117.5256",
"CA","Etiwanda Generating Station","331","4",,"2015","ARP","730.21","12","51986.7",,"0.194","0.0063","1.856","38438.29","646770.642","9","WECC","San Bernardino","Electric Utility","NRG California South LP.","NRG California South LP.","Phase 2",,"Operating","Tangentially-fired","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.0911","-117.5256",
"CA","Feather River Energy Center","55847","UNIT1",,"2015","ARP","797.54","12","27992.79",,"0.086","0.2915","9.79","17123.97","288153.013","9",,"Sutter","Electric Utility","Calpine Corporation","Calpine Corporation","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"39.1088","-121.6133",
"CA","Fresno Cogeneration Partners, LP","10156","GEN1",,"2015","ARP","469.4","12","12333.94",,"0.041","0.0139","0.552","8185.608","137747.535","9",,"Fresno","Cogeneration","Fresno Cogeneration Partners, LP","Wellhead Electric Company, Inc","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"36.6183","-120.1",
"CA","Gateway Generating Station","56476","GT1",,"2015","ARP","7125.14","12","1674400.26",,"3.588","0.0093","39.889","710734.169","1.1959454536E7","9",,"Contra Costa","Electric Utility","Pacific Gas and Electric Company","Pacific Gas and Electric Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"38.0167","-121.7592",
"CA","Gateway Generating Station","56476","GT2",,"2015","ARP","7225.94","12","1708302.34",,"3.671","0.0092","40.508","727105.587","1.2234915839E7","9",,"Contra Costa","Electric Utility","Pacific Gas and Electric Company","Pacific Gas and Electric Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"38.0167","-121.7592",
"CA","Gilroy Energy Center, LLC","55810","S-3",,"2015","ARP","469.01","12","13175.78",,"0.041","0.0494","1.983","8072.869","135837.709","9",,"Santa Clara","Electric Utility","Gilroy Energy Center, LLC","Gilroy Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"36.999","-121.5363",
"CA","Gilroy Energy Center, LLC","55810","S-4",,"2015","ARP","558.61","12","15978.48",,"0.049","0.0463","1.97","9785.418","164676.19","9",,"Santa Clara","Electric Utility","Gilroy Energy Center, LLC","Gilroy Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"36.999","-121.5363",
"CA","Gilroy Energy Center, LLC","55810","S-5",,"2015","ARP","344.1","12","11925.12",,"0.034","0.0473","1.6","6658.486","112044.246","9",,"Santa Clara","Electric Utility","Gilroy Energy Center, LLC","Gilroy Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"36.999","-121.5363",
"CA","Gilroy Energy Center, LLC for King City","10294","2",,"2015","ARP","218.57","12","7353.98",,"0.023","0.0215","0.552","4599.627","77401.259","9",,"Monterey","Electric Utility","Gilroy Energy Center, LLC","Gilroy Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"36.225","-121.1278",
"CA","Glenarm","422","GT3",,"2015","ARP","864.41","12","19234.99",,"0.068","0.0378","2.916","13498.567","227144.462","9","WECC","Los Angeles","Electric Utility","City of Pasadena Water and Power Department","City of Pasadena Water and Power Department","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.1256","-118.1474",
"CA","Glenarm","422","GT4",,"2015","ARP","534.39","12","11623.41",,"0.038","0.0486","2.014","7570.869","127392.322","9","WECC","Los Angeles","Electric Utility","City of Pasadena Water and Power Department","City of Pasadena Water and Power Department","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.1256","-118.1474",
"CA","Goose Haven Energy Center","55627","UNIT1",,"2015","ARP","386.38","12","12197.8",,"0.039","0.057","1.348","7735.51","130160.235","9",,"Solano","Electric Utility","Goose Haven Energy Center, LLC","Goose Haven Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"38.2271","-121.844",
"CA","Grapeland Generating Station","56472","CT1",,"2015","ARP","493.19","12","22500.61",,"0.065","0.0282","1.977","12965.26","218177.876","9",,"San Bernardino","Electric Utility","Southern California Edison Company","Southern California Edison Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"34.09","-117.534",
"CA","Grayson Power Plant","377","4",,"2015","ARP","1881.15","12","28281.95",,"0.486","0.0232","4.399","32768.11","387766.823","9","WECC","Los Angeles","Electric Utility","City of Glendale","City of Glendale","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil, Other Gas",,"Low NOx Burner Technology (Dry Bottom only)",,,"34.1556","-118.2782",
"CA","Grayson Power Plant","377","5",,"2015","ARP","5258.6","12","85896.85",,"1.283","0.0308","18.243","94405.768","1205836.034","9","WECC","Los Angeles","Electric Utility","City of Glendale","City of Glendale","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas","Other Gas, Residual Oil",,"Other",,,"34.1556","-118.2782",
"CA","Grayson Power Plant","377","9",,"2015","ARP","609.42","12","17637.69",,"0.052","0.0317","2.049","10382.772","174713.872","9","WECC","Los Angeles","Electric Utility","City of Glendale","City of Glendale","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.1556","-118.2782",
"CA","Greenleaf One","10350","1",,"2015","ARP","828.27","12","35391.5",,"0.078","0.121","13.895","15479.297","260479.702","9",,"Sutter","Electric Utility","Calpine Greenleaf Inc., Greenleaf Energy Unit 1, LLC","Calpine Corporation, ProEnergy Services LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Steam Injection",,,"39.0536","-121.6942",
"CA","Hanford Energy Park Peaker","55698","HEP1",,"2015","ARP","1395.96","12","45681.22",,"0.142","0.015","2.278","28208.18","474648.403","9",,"Kings","Electric Utility","AltaGas Power Holdings (U.S.) Inc., AltaGas San Joaquin Energy Inc., GWF Energy, LLC","AltaGas San Joaquin Energy Inc., GWF Energy, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"36.2689","-119.6469",
"CA","Hanford Energy Park Peaker","55698","HEP2",,"2015","ARP","1659.75","12","56111.06",,"0.162","0.0161","2.874","32139.668","540820.332","9",,"Kings","Electric Utility","AltaGas Power Holdings (U.S.) Inc., AltaGas San Joaquin Energy Inc., GWF Energy, LLC","AltaGas San Joaquin Energy Inc., GWF Energy, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"36.2689","-119.6469",
"CA","Harbor Generating Station","399","**10A",,"2015","ARP","441.92","12","42954.36",,"0.115","0.0205","3.765","22328.664","382327.357","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Harbor Generating Station","399","**10B",,"2015","ARP","410.04","12","36613.35",,"0.1","0.0213","3.304","19535.315","334478.756","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Harbor Generating Station","399","10",,"2015","ARP","79.96","12","2903.86",,"0.009","0.0286","0.348","1802.123","30847.565","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Harbor Generating Station","399","11",,"2015","ARP","422.01","12","14561.95",,"0.044","0.0266","1.304","8596.771","147174.156","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Harbor Generating Station","399","12",,"2015","ARP","160.71","12","5657.84",,"0.018","0.0197","0.542","3500.645","59948.963","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Harbor Generating Station","399","13",,"2015","ARP","183.82","12","7691.33",,"0.023","0.0197","0.691","4507.479","77180.488","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Harbor Generating Station","399","14",,"2015","ARP","135.15","12","4797.86",,"0.015","0.0233","0.503","2950.444","50526.509","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"33.7691","-118.2662",
"CA","Haynes Generating Station","400","1",,"2015","ARP","1992.9","12","145008.21",,"0.496","0.0042","2.471","96558.176","1653432.046","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","10",,"2015","ARP","4760.5","12","1139931.57",,"2.415","0.0078","26.393","470143.819","8050436.43","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","11",,"2015","ARP","641.38","12","52868.07",,"0.147","0.0134","2.46","28631.899","490265.109","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","12",,"2015","ARP","288.12","12","22034.19",,"0.063","0.0126","1.137","12292.576","210516.795","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","13",,"2015","ARP","682.96","12","57490.32",,"0.159","0.0123","2.794","30914.595","529331.66","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","14",,"2015","ARP","180.3","12","15216.82",,"0.043","0.015","0.807","8430.586","144363.723","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","15",,"2015","ARP","525.4","12","45779.91",,"0.129","0.0155","2.455","25039.594","428762.797","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","16",,"2015","ARP","205.06","12","17285.13",,"0.049","0.0166","0.934","9544.351","163417.73","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","2",,"2015","ARP","2684.56","12","176971.62",,"0.589","0.0052","3.25","114614.482","1962551.262","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Haynes Generating Station","400","9",,"2015","ARP","5303.57","12","1270965.53",,"2.65","0.0095","32.449","515896.977","8833790.755","9","WECC","Los Angeles","Electric Utility","Los Angeles Dept of Water and Power","Los Angeles Dept of Water and Power","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.7639","-118.0942",
"CA","Henrietta Peaker Plant","55807","HPP1",,"2015","ARP","1353.29","12","48240.79",,"0.153","0.013","2.477","30378.101","511166.675","9",,"Kings","Electric Utility","AltaGas Power Holdings (U.S.) Inc., AltaGas San Joaquin Energy Inc., GWF Energy, LLC","AltaGas San Joaquin Energy Inc., GWF Energy, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"36.2397","-119.9044",
"CA","Henrietta Peaker Plant","55807","HPP2",,"2015","ARP","1402.72","12","51366.93",,"0.16","0.0119","2.42","31751.363","534244.388","9",,"Kings","Electric Utility","AltaGas Power Holdings (U.S.) Inc., AltaGas San Joaquin Energy Inc., GWF Energy, LLC","AltaGas San Joaquin Energy Inc., GWF Energy, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"36.2397","-119.9044",
"CA","High Desert Power Project","55518","CTG1",,"2015","ARP","5487.57","12","737811.01",,"2.659","0.0095","36.415","526766.256","8863817.314","9",,"San Bernardino","Electric Utility","High Desert Power Project, LLC","High Desert Power Project, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.5953","-117.3647",
"CA","High Desert Power Project","55518","CTG2",,"2015","ARP","5459.17","12","734777.17",,"2.551","0.0105","39.339","505381.872","8504031.755","9",,"San Bernardino","Electric Utility","High Desert Power Project, LLC","High Desert Power Project, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.5953","-117.3647",
"CA","High Desert Power Project","55518","CTG3",,"2015","ARP","5974.82","12","816461.91",,"2.81","0.0089","37.956","556575.027","9365426.22","9",,"San Bernardino","Electric Utility","High Desert Power Project, LLC","High Desert Power Project, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"34.5953","-117.3647",
"CA","Indigo Generation Facility","55541","1",,"2015","ARP","402.04","12","15069.99",,"0.045","0.0836","1.953","8998.698","151418.784","9",,"Riverside","Electric Utility","Diamond Generating Corporation, Wildflower Energy, LP","Wildflower Energy, LP","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.9114","-116.5533",
"CA","Indigo Generation Facility","55541","2",,"2015","ARP","670.73","12","25225.44",,"0.076","0.0565","2.935","15126.594","254545.727","9",,"Riverside","Electric Utility","Diamond Generating Corporation, Wildflower Energy, LP","Wildflower Energy, LP","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"33.9114","-116.5533",
"CA","Indigo Generation Facility","55541","3",,"2015","ARP","678.31","12","25481.49",,"0.076","0.0668","3.259","14972.883","251945.509","9",,"Riverside","Electric Utility","Diamond Generating Corporation, Wildflower Energy, LP","Wildflower Energy, LP","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"33.9114","-116.5533",
"CA","Inland Empire Energy Center","55853","1",,"2015","ARP","2249.02","12","603228.42",,"1.247","0.0059","10.632","247090.465","4157842.373","9","WECC","Riverside","Electric Utility","Inland Empire Energy Center, LLC","Inland Empire Energy Center, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.7393","-117.1701",
"CA","Inland Empire Energy Center","55853","2",,"2015","ARP","1386.11","12","352977.66",,"0.759","0.0059","6.486","150258.262","2528485.52","9","WECC","Riverside","Electric Utility","Inland Empire Energy Center, LLC","Inland Empire Energy Center, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.7393","-117.1701",
"CA","Ivanpah 1","57074","BLR1",,"2015","ARP","3848.0","12",,,"0.116","0.0111","2.223","23852.5","404297.7","9",,"San Bernardino","Electric Utility","Solar Partners II, LLC","NRG Energy, Inc, Solar Partners II, LLC","Phase 2",,"Operating","Other boiler","Pipeline Natural Gas",,,,,,"35.5356","-115.4515",
"CA","Ivanpah 2","57073","BLR1",,"2015","ARP","3907.0","12",,,"0.117","0.011","2.223","23881.5","404771.3","9",,"San Bernardino","Electric Utility","Solar Partners I, LLC","NRG Energy, Inc, Solar Partners I, LLC","Phase 2",,"Operating","Other boiler","Pipeline Natural Gas",,,,,,"35.5561","-115.4686",
"CA","Ivanpah 3","57075","BLR1",,"2015","ARP","4130.0","12",,,"0.105","0.011","2.321","24911.3","422307.2","9",,"San Bernardino","Electric Utility","Solar Partners VIII, LLC","NRG Energy, Inc, Solar Partners VIII, LLC","Phase 2",,"Operating","Other boiler","Pipeline Natural Gas",,,,,,"35.5808","-115.4825",
"CA","Kingsburg Cogen Facility","10405","1",,"2015","ARP","1847.4","12","41224.91",,"0.185","0.0154","3.046","36624.57","616311.25","9",,"Fresno","Electric Utility","KES Kingsburg, LP","PurEnergy Operating Services, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"36.547","-119.578",
"CA","La Paloma Generating Plant","55151","CTG-1",,"2015","ARP","5745.38","12","1279000.95",,"2.728","0.0063","26.461","540284.251","9091436.734","9",,"Kern","Electric Utility","La Paloma Generating Company, LLC","La Paloma Generating Company, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"35.2956","-119.5919",
"CA","La Paloma Generating Plant","55151","CTG-2",,"2015","ARP","6790.27","12","1472896.01",,"3.156","0.0081","34.161","625171.951","1.0519852413E7","9",,"Kern","Electric Utility","La Paloma Generating Company, LLC","La Paloma Generating Company, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"35.2956","-119.5919",
"CA","La Paloma Generating Plant","55151","CTG-3",,"2015","ARP","7292.29","12","1525305.03",,"3.263","0.0064","31.417","646302.702","1.0875457177E7","9",,"Kern","Electric Utility","La Paloma Generating Company, LLC","La Paloma Generating Company, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"35.2956","-119.5919",
"CA","La Paloma Generating Plant","55151","CTG-4",,"2015","ARP","5559.76","12","1236172.28",,"2.604","0.0086","28.888","515852.331","8680261.451","9",,"Kern","Electric Utility","La Paloma Generating Company, LLC","La Paloma Generating Company, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"35.2956","-119.5919",
"CA","Lake","7987","01",,"2015","ARP","526.06","12","13734.92",,"0.049","0.0166","1.296","9001.694","151468.387","9","WECC","Los Angeles","Electric Utility","City of Burbank","City of Burbank","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"34.1775","-118.3147",
"CA","Lambie Energy Center","55626","UNIT1",,"2015","ARP","360.08","12","12061.72",,"0.038","0.0549","1.233","7465.268","125617.324","9",,"Solano","Electric Utility","Gilroy Energy Center, LLC","Gilroy Energy Center, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Ammonia Injection<br>Selective Catalytic Reduction",,,"38.2216","-121.8683",
"CA","Larkspur Energy Faciity","55542","1",,"2015","ARP","639.19","12","25579.7",,"0.078","0.0644","2.574","15457.879","260116.924","9","WECC","San Diego","Electric Utility","Diamond Generating Corporation, Wildflower Energy, LP","Wildflower Energy, LP","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"32.5672","-116.9444",
"CA","Larkspur Energy Faciity","55542","2",,"2015","ARP","1031.08","12","41577.15",,"0.123","0.0482","3.493","24436.49","411206.429","9","WECC","San Diego","Electric Utility","Diamond Generating Corporation, Wildflower Energy, LP","Wildflower Energy, LP","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction",,,"32.5672","-116.9444",
"CA","Lodi Energy Center","57978","CT1",,"2015","ARP","6708.88","12","1125046.3",,"3.568","0.0065","34.808","706687.319","1.1891371653E7","9",,"San Joaquin","Electric Utility","Northern California Power Agency","Northern California Power Agency","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"38.088","-121.3867",
"CA","Long Beach Generating Station","341","1",,"2015","ARP","110.48","12","5387.86",,"0.025","0.106","2.466","4937.585","83078.619","9",,"Los Angeles","Electric Utility","Long Beach Generation, LLC","Long Beach Generation, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7641","-118.2248",
"CA","Long Beach Generating Station","341","2",,"2015","ARP","111.84","12","5386.85",,"0.026","0.0851","1.125","5106.372","85924.279","9",,"Los Angeles","Electric Utility","Long Beach Generation, LLC","Long Beach Generation, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection<br>Selective Catalytic Reduction",,,"33.7641","-118.2248",
